Weeks,N,n,Phenotype
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,1
1,1,11,0
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,1
2,1,5,0
2,1,6,1
2,1,7,1
2,1,8,0
2,1,9,0
2,1,10,0
2,1,11,1
2,1,12,0
2,1,13,0
2,1,14,0
2,1,15,0
2,1,16,0
2,1,17,0
2,1,18,0
2,1,19,0
2,1,20,1
2,1,21,0
2,1,22,0
2,1,23,0
2,1,24,0
2,1,25,0
3,1,1,1
3,1,2,1
3,1,3,1
3,1,4,1
3,1,5,0
3,1,6,0
3,1,7,0
3,1,8,0
3,1,9,1
3,1,10,1
3,1,11,0
3,1,12,0
3,1,13,1
3,1,14,1
3,1,15,0
3,1,16,0
3,1,17,0
3,1,18,0
3,1,19,0
3,1,20,0
3,1,21,0
5,1,1,0
5,1,2,0
5,1,3,1
5,1,4,1
5,1,5,0
5,1,6,1
5,1,7,0
5,1,8,0
5,1,9,1
5,1,10,1
5,1,11,0
5,1,12,1
5,1,13,1
5,1,14,1
5,1,15,1
5,1,16,0
1,2,1,1
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,1
1,2,6,1
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,2,11,0
1,2,12,0
1,2,13,1
1,2,14,0
1,2,15,0
1,2,16,1
1,2,17,0
1,2,18,1
1,2,19,1
1,2,20,0
1,2,21,0
1,2,22,0
3,2,1,0
3,2,2,0
3,2,3,1
3,2,4,1
3,2,5,0
3,2,6,0
3,2,7,0
3,2,8,0
3,2,9,0
3,2,10,0
3,2,11,0
3,2,12,0
3,2,13,0
3,2,14,0
3,2,15,1
3,2,16,1
3,2,17,0
3,2,18,1
3,2,19,0
3,2,20,0
3,2,21,0
3,2,22,0
3,2,23,0
3,2,24,0
3,2,25,1
3,2,26,0
3,2,27,0
3,2,28,0
4,2,1,1
4,2,2,0
4,2,3,0
4,2,4,1
4,2,5,0
4,2,6,0
4,2,7,0
4,2,8,0
4,2,9,1
4,2,10,1
4,2,11,1
5,2,1,1
5,2,2,1
5,2,3,0
5,2,4,0
5,2,5,1
5,2,6,1
5,2,7,1
5,2,8,1
5,2,9,1
5,2,10,0
5,2,11,0
5,2,12,0
5,2,13,0
5,2,14,0
5,2,15,0
5,2,16,1
5,2,17,0
5,2,18,0
5,2,19,0
5,2,20,0
5,2,21,0
5,2,22,0
5,2,23,1
5,2,24,0
5,2,25,0
5,2,26,0
6,1,1,1
6,1,2,1
6,1,3,1
6,1,4,0
6,1,5,1
6,1,6,1
6,1,7,0
6,1,8,0
6,1,9,1
6,1,10,1
6,1,11,1
6,1,12,1
6,1,13,1
6,1,14,1
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,1
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,3,11,0
1,3,12,0
1,3,13,0
1,3,14,0
1,3,15,0
1,3,16,0
2,2,1,0
2,2,2,0
2,2,3,0
2,2,4,0
2,2,5,0
2,2,6,0
2,2,7,0
2,2,8,0
2,2,9,0
2,2,10,1
2,2,11,0
2,2,12,0
2,2,13,0
2,2,14,1
2,2,15,0
2,2,16,0
2,2,17,0
2,2,18,1
2,2,19,0
2,2,20,0
2,2,21,0
2,2,22,1
2,2,23,0
2,2,24,0
2,2,25,0
2,2,26,0
2,2,27,0
2,2,28,0
2,2,29,0
2,2,30,0
2,2,31,0
3,3,1,1
3,3,2,0
3,3,3,0
3,3,4,1
3,3,5,0
3,3,6,0
3,3,7,0
3,3,8,1
3,3,9,0
3,3,10,1
3,3,11,1
3,3,12,1
3,3,13,1
3,3,14,0
3,3,15,1
3,3,16,1
3,3,17,0
3,3,18,0
3,3,19,0
3,3,20,0
3,3,21,0
3,3,22,0
3,3,23,0
3,3,24,0
4,2,1,1
4,2,2,0
4,2,3,0
4,2,4,0
4,2,5,0
4,2,6,0
4,2,7,1
4,2,8,1
4,2,9,1
4,2,10,0
4,2,11,0
4,2,12,0
4,2,13,0
4,2,14,1
4,2,15,0
5,3,1,0
5,3,2,0
5,3,3,0
5,3,4,1
5,3,5,0
5,3,6,1
5,3,7,1
5,3,8,1
5,3,9,1
5,3,10,0
5,3,11,0
5,3,12,0
5,3,13,0
5,3,14,0
5,3,15,1
5,3,16,1
5,3,17,0
5,3,18,1
5,3,19,0
5,3,20,0
5,3,21,0
5,3,22,1
6,2,1,0
6,2,2,0
6,2,3,1
6,2,4,0
6,2,5,0
6,2,6,0
6,2,7,0
6,2,8,0
6,2,9,0
6,2,10,0
6,2,11,0
6,2,12,1
6,2,13,0
6,2,14,0
6,2,15,0
6,2,16,0
6,2,17,0
6,2,18,0
6,2,19,1
6,2,20,0
6,2,21,0
6,2,22,0
6,2,23,0
6,2,24,0
6,2,25,0
6,2,26,0
1,4,1,0
1,4,2,1
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,1
1,4,8,0
1,4,9,0
1,4,10,0
1,4,11,0
1,4,12,0
1,4,13,0
1,4,14,0
1,4,15,0
1,4,16,1
1,4,17,0
1,4,18,0
1,4,19,0
1,4,20,0
1,4,21,0
1,4,22,0
1,4,23,0
1,4,24,0
1,4,25,1
1,4,26,0
1,4,27,0
1,4,28,0
1,4,29,1
1,4,30,0
1,4,31,0
1,4,32,0
1,4,33,0
1,4,34,0
1,4,35,0
1,4,36,0
1,4,37,0
1,4,38,0
1,4,39,1
1,4,40,0
1,4,41,1
2,3,1,0
2,3,2,0
2,3,3,1
2,3,4,0
2,3,5,0
2,3,6,0
2,3,7,0
2,3,8,0
2,3,9,0
2,3,10,0
2,3,11,0
2,3,12,0
2,3,13,0
2,3,14,1
2,3,15,0
2,3,16,1
2,3,17,0
2,3,18,1
2,3,19,0
2,3,20,0
2,3,21,0
2,3,22,0
2,3,23,0
2,3,24,0
2,3,25,0
2,3,26,1
2,3,27,0
2,3,28,1
2,3,29,0
2,3,30,0
2,3,31,1
2,3,32,0
4,3,1,1
4,3,2,1
4,3,3,1
4,3,4,0
4,3,5,0
4,3,6,0
4,3,7,1
4,3,8,1
4,3,9,0
4,3,10,0
4,3,11,0
4,3,12,1
4,3,13,0
4,3,14,0
4,3,15,0
4,3,16,0
4,3,17,0
6,3,1,0
6,3,2,0
6,3,3,1
6,3,4,0
6,3,5,0
6,3,6,0
6,3,7,1
6,3,8,0
6,3,9,0
6,3,10,0
6,3,11,0
6,3,12,0
6,3,13,0
6,3,14,0
6,3,15,0
6,3,16,0
6,3,17,0
6,3,18,0
6,3,19,0
6,3,20,1
6,3,21,0
6,3,22,0
6,3,23,1
6,3,24,1
6,3,25,1
6,3,26,1
6,3,27,0
6,3,28,1
6,3,29,0
6,3,30,1
6,3,31,0
6,3,32,1
6,3,33,1
6,3,34,1
6,3,35,1
6,3,36,1
6,3,37,1
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,1
1,5,10,0
1,5,11,0
1,5,12,0
1,5,13,0
1,5,14,0
1,5,15,1
1,5,16,1
1,5,17,0
1,5,18,1
1,5,19,1
1,5,20,1
1,5,21,0
1,5,22,0
1,5,23,0
6,4,1,1
6,4,2,1
6,4,3,1
6,4,4,0
6,4,5,1
6,4,6,1
6,4,7,1
6,4,8,1
6,4,9,1
6,4,10,1
6,4,11,1
6,4,12,1
6,4,13,1
6,4,14,1
6,4,15,1
6,4,16,1
6,4,17,1
6,4,18,1
6,4,19,1
6,4,20,1
6,4,21,1
6,4,22,1
6,5,1,1
6,5,2,1
6,5,3,1
6,5,4,1
6,5,5,1
6,5,6,1
6,5,7,1
6,5,8,1
6,5,9,0
6,5,10,1
6,5,11,1
6,5,12,1
6,5,13,1
6,5,14,1
6,5,15,1
6,5,16,1
6,5,17,1
6,5,18,1
6,5,19,1
6,5,20,1
6,5,21,0
6,5,22,1
6,5,23,1
6,5,24,1
6,5,25,1
6,5,26,1
6,5,27,1
6,5,28,1
6,5,29,1
6,6,1,1
6,6,2,1
6,6,3,0
6,6,4,1
6,6,5,1
6,6,6,1
6,6,7,1
6,6,8,1
6,6,9,1
6,6,10,0
6,6,11,1
6,6,12,1
6,6,13,1
6,6,14,1
6,6,15,1
6,6,16,0
6,6,17,1
6,6,18,1
6,6,19,1
6,6,20,1
6,6,21,1
6,6,22,1
6,6,23,1
6,6,24,1
6,6,25,0
6,6,26,0
6,7,1,0
6,7,2,0
6,7,3,1
6,7,4,0
6,7,5,1
6,7,6,1
6,7,7,1
6,7,8,0
6,7,9,0
6,7,10,0
6,7,11,1
6,7,12,1
6,7,13,1
6,7,14,0
6,7,15,0
6,7,16,1
6,7,17,1
6,7,18,1
1,6,1,0
1,6,2,0
1,6,3,0
1,6,4,0
1,6,5,1
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0
1,6,10,0
1,6,11,1
1,6,12,0
1,6,13,0
1,6,14,0
1,6,15,0
1,6,16,0
1,6,17,0
1,6,18,0
1,6,19,0
1,6,20,0
1,6,21,1
1,6,22,1
1,6,23,0
1,6,24,1
1,6,25,1
1,6,26,0
1,6,27,0
1,6,28,0
1,6,29,0
1,6,30,0
1,6,31,0
1,6,32,0
1,6,33,0
1,6,34,0
1,6,35,0
1,6,36,0
1,6,37,0
1,6,38,0
1,6,39,0
1,6,40,0
1,6,41,1
1,6,42,0
1,6,43,0
1,6,44,0
1,6,45,0
1,6,46,0
1,6,47,0
1,6,48,0
1,6,49,0
1,6,50,0
1,6,51,0
1,6,52,0
1,6,53,0
1,6,54,0
1,6,55,1
1,6,56,0
1,6,57,0
1,6,58,0
1,6,59,0
1,6,60,0
1,6,61,0
1,6,62,0
1,6,63,0
1,6,64,0
1,6,65,0
1,6,66,0
1,6,67,0
1,6,68,0
1,6,69,1
1,6,70,1
1,6,71,0
1,6,72,0
1,6,73,0
1,6,74,0
1,6,75,0
1,6,76,0
1,6,77,1
1,6,78,0
1,6,79,0
1,6,80,0
1,6,81,0
1,6,82,0
1,6,83,0
1,6,84,0
1,6,85,0
1,6,86,0
1,6,87,0
1,6,88,0
1,6,89,0
1,6,90,0
1,6,91,0
1,6,92,0
1,6,93,0
1,6,94,0
1,6,95,0
1,6,96,0
1,6,97,0
1,6,98,0
1,6,99,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0
1,7,10,0
1,7,11,0
1,7,12,0
1,7,13,0
1,7,14,0
1,7,15,0
1,7,16,0
1,7,17,0
1,7,18,0
1,7,19,0
1,7,20,0
1,7,21,0
1,7,22,0
1,7,23,0
1,7,24,0
1,7,25,0
1,7,26,0
1,7,27,0
1,7,28,0
1,7,29,0
1,7,30,0
1,7,31,0
1,7,32,0
1,7,33,0
1,7,34,0
1,7,35,0
1,7,36,0
1,7,37,0
1,7,38,0
1,7,39,0
1,7,40,0
1,7,41,0
1,7,42,0
1,7,43,0
1,7,44,0
1,7,45,0
1,7,46,0
1,7,47,0
1,7,48,0
1,7,49,0
1,7,50,0
1,7,51,0
1,7,52,0
1,7,53,0
1,7,54,0
1,7,55,0
1,7,56,0
1,7,57,1
1,7,58,0
1,7,59,0
1,7,60,0
1,7,61,0
1,7,62,0
1,7,63,0
1,7,64,0
1,7,65,1
1,7,66,0
1,7,67,0
1,7,68,0
1,7,69,1
1,7,70,0
1,7,71,0
1,7,72,0
1,7,73,0
1,7,74,0
1,7,75,1
1,7,76,0
1,7,77,1
1,7,78,0
6,8,1,1
6,8,2,1
6,8,3,1
6,8,4,1
6,8,5,1
6,8,6,1
6,8,7,1
6,8,8,1
6,8,9,1
6,8,10,1
6,8,11,1
6,8,12,1
6,8,13,1
6,8,14,1
6,8,15,1
6,8,16,1
6,8,17,0
6,8,18,0
6,8,19,1
6,8,20,1
6,8,21,0
6,8,22,1
6,8,23,1
6,8,24,1
6,8,25,1
6,8,26,0
6,8,27,1
6,8,28,1
6,8,29,1
