Weeks,N,n,PhenoTag
1,1,1,
1,1,2,
1,1,3,
1,1,4,
1,1,5,
1,1,6,
1,1,7,
1,1,8,
1,1,9,
1,1,10,Dysregulated epithelium
1,1,11,
1,1,12,
1,1,13,
1,1,14,
1,1,15,
1,1,16,
2,1,1,
2,1,2,
2,1,3,
2,1,4,Dysregulated epithelium
2,1,5,
2,1,6,"Epithelial gapping, dysregulated epithelium, epithelial cell death"
2,1,7,Epithelial gapping
2,1,8,
2,1,9,
2,1,10,
2,1,11,"Epithelial gapping, dysregulated epithelium"
2,1,12,
2,1,13,
2,1,14,
2,1,15,
2,1,16,
2,1,17,
2,1,18,
2,1,19,
2,1,20,Dysregulated epithelium
2,1,21,
2,1,22,
2,1,23,
2,1,24,
2,1,25,
3,1,1,Epithelial gapping
3,1,2,Dysregulated epithelium
3,1,3,Dysregulated epithelium
3,1,4,"Epithelial gapping, dysregulated epithelium"
3,1,5,
3,1,6,
3,1,7,
3,1,8,
3,1,9,Epithelial gapping
3,1,10,Dysregulated epithelium
3,1,11,
3,1,12,
3,1,13,"Epithelial gapping, dysregulated epithelium"
3,1,14,"Epithelial gapping, dysregulated epithelium"
3,1,15,
3,1,16,
3,1,17,
3,1,18,
3,1,19,
3,1,20,
3,1,21,
5,1,1,
5,1,2,
5,1,3,"Impaired stalk development, dysregulated epithelium"
5,1,4,Dysregulated epithelium
5,1,5,
5,1,6,Epithelial gapping
5,1,7,
5,1,8,
5,1,9,"Epithelial gapping, dysregulated epithelium, impaired stalk development"
5,1,10,Dysregulated epithelium
5,1,11,
5,1,12,"Epithelial gapping, dysregulated epithelium"
5,1,13,"Epithelial gapping, dysregulated epithelium, impaired stalk development"
5,1,14,Dysregulated epithelium
5,1,15,"Epithelial gapping, dysregulated epithelium, impaired stalk development"
5,1,16,
1,2,1,"Epithelial gapping, dysregulated epithelium"
1,2,2,
1,2,3,
1,2,4,
1,2,5,"Epithelial gapping, dysregulated epithelium"
1,2,6,Dysregulated epithelium
1,2,7,
1,2,8,
1,2,9,
1,2,10,
1,2,11,
1,2,12,
1,2,13,Dysregulated epithelium
1,2,14,
1,2,15,
1,2,16,Epithelial gapping
1,2,17,
1,2,18,"Epithelial gapping, dysregulated epithelium"
1,2,19,Dysregulated epithelium
1,2,20,
1,2,21,
1,2,22,
3,2,1,
3,2,2,
3,2,3,Epithelial gapping
3,2,4,"Epithelial gapping, dysregulated epithelium"
3,2,5,
3,2,6,
3,2,7,
3,2,8,
3,2,9,
3,2,10,
3,2,11,
3,2,12,
3,2,13,
3,2,14,
3,2,15,"Epithelial gapping, dysregulated epithelium"
3,2,16,"Epithelial gapping, dysregulated epithelium, epithelial cell death"
3,2,17,
3,2,18,Dysregulated epithelium
3,2,19,
3,2,20,
3,2,21,
3,2,22,
3,2,23,
3,2,24,
3,2,25,Epithelial gapping
3,2,26,
3,2,27,
3,2,28,
4,2,1,Dysregulated epithelium
4,2,2,
4,2,3,
4,2,4,Epithelial gapping
4,2,5,
4,2,6,
4,2,7,
4,2,8,
4,2,9,"Epithelial gapping, dysregulated epithelium, epithelial cell death"
4,2,10,"Dysregulated epithelium, impaired stalk development"
4,2,11,"Dysregulated epithelium, impaired stalk development"
5,2,1,Epithelial gapping
5,2,2,Epithelial gapping
5,2,3,
5,2,4,
5,2,5,"Epithelial gapping, impaired stalk development"
5,2,6,"Epithelial gapping, impaired stalk development"
5,2,7,Epithelial gapping
5,2,8,Epithelial gapping
5,2,9,"Epithelial gapping, epithelial cell death"
5,2,10,
5,2,11,
5,2,12,
5,2,13,
5,2,14,
5,2,15,
5,2,16,"Epithelial gapping, dysregulated epithelium"
5,2,17,
5,2,18,
5,2,19,
5,2,20,
5,2,21,
5,2,22,
5,2,23,Dysregulated epithelium
5,2,24,
5,2,25,
5,2,26,
6,1,1,"Epithelial gapping, dysregulated epithelium, impaired stalk development"
6,1,2,"Epithelial gapping, dysregulated epithelium, impaired stalk development"
6,1,3,"Epithelial gapping, dysregulated epithelium"
6,1,4,
6,1,5,"Epithelial gapping, dysregulated epithelium"
6,1,6,Epithelial gapping
6,1,7,
6,1,8,
6,1,9,"Dysregulated epithelium, impaired stalk development"
6,1,10,"Epithelial gapping, dysregulated epithelium, impaired stalk development"
6,1,11,"Epithelial gapping, dysregulated epithelium, impaired stalk development"
6,1,12,"Dysregulated epithelium, impaired stalk development"
6,1,13,"Dysregulated epithelium, impaired stalk development"
6,1,14,"Epithelial gapping, dysregulated epithelium"
1,3,1,
1,3,2,
1,3,3,
1,3,4,
1,3,5,
1,3,6,"Epithelial gapping, dysregulated epithelium"
1,3,7,
1,3,8,
1,3,9,
1,3,10,
1,3,11,
1,3,12,
1,3,13,
1,3,14,
1,3,15,
1,3,16,
2,2,1,
2,2,2,
2,2,3,
2,2,4,
2,2,5,
2,2,6,
2,2,7,
2,2,8,
2,2,9,
2,2,10,Epithelial gapping
2,2,11,
2,2,12,
2,2,13,
2,2,14,"Epithelial gapping, dysregulated epithelium"
2,2,15,
2,2,16,
2,2,17,
2,2,18,"Dysregulated epithelium, impaired stalk development"
2,2,19,
2,2,20,
2,2,21,
2,2,22,Dysregulated epithelium
2,2,23,
2,2,24,
2,2,25,
2,2,26,
2,2,27,
2,2,28,
2,2,29,
2,2,30,
2,2,31,
3,3,1,"Epithelial gapping, dysregulated epithelium"
3,3,2,
3,3,3,
3,3,4,"Epithelial gapping, dysregulated epithelium, impaired stalk development"
3,3,5,
3,3,6,
3,3,7,
3,3,8,"Epithelial gapping, dysregulated epithelium"
3,3,9,
3,3,10,Dysregulated epithelium
3,3,11,Impaired stalk development
3,3,12,"Epithelial gapping, dysregulated epithelium"
3,3,13,"Epithelial gapping, dysregulated epithelium, epithelial cell death"
3,3,14,
3,3,15,"Epithelial gapping, dysregulated epithelium"
3,3,16,"Dysregulated epithelium, epithelial cell death"
3,3,17,
3,3,18,
3,3,19,
3,3,20,
3,3,21,
3,3,22,
3,3,23,
3,3,24,
4,2,1,"Epithelial gapping, dysregulated epithelium, epithelial cell death"
4,2,2,
4,2,3,
4,2,4,
4,2,5,
4,2,6,
4,2,7,"Epithelial gapping, dysregulated epithelium"
4,2,8,"Epithelial gapping, dysregulated epithelium"
4,2,9,"Epithelial gapping, dysregulated epithelium"
4,2,10,
4,2,11,
4,2,12,
4,2,13,
4,2,14,Impaired stalk development
4,2,15,
5,3,1,
5,3,2,
5,3,3,
5,3,4,Epithelial gapping
5,3,5,
5,3,6,"Epithelial gapping, dysregulated epithelium"
5,3,7,Epithelial gapping
5,3,8,"Epithelial gapping, dysregulated epithelium, epithelial cell death"
5,3,9,"Epithelial gapping, dysregulated epithelium, epithelial cell death"
5,3,10,
5,3,11,
5,3,12,
5,3,13,
5,3,14,
5,3,15,Dysregulated epithelium
5,3,16,Dysregulated epithelium
5,3,17,
5,3,18,Epithelial gapping
5,3,19,
5,3,20,
5,3,21,
5,3,22,Dysregulated epithelium
6,2,1,
6,2,2,
6,2,3,"Epithelial gapping, dysregulated epithelium"
6,2,4,
6,2,5,
6,2,6,
6,2,7,
6,2,8,
6,2,9,
6,2,10,
6,2,11,
6,2,12,Epithelial gapping
6,2,13,
6,2,14,
6,2,15,
6,2,16,
6,2,17,
6,2,18,
6,2,19,Epithelial gapping
6,2,20,
6,2,21,
6,2,22,
6,2,23,
6,2,24,
6,2,25,
6,2,26,
1,4,1,
1,4,2,Epithelial gapping
1,4,3,
1,4,4,
1,4,5,
1,4,6,
1,4,7,Epithelial gapping
1,4,8,
1,4,9,
1,4,10,
1,4,11,
1,4,12,
1,4,13,
1,4,14,
1,4,15,
1,4,16,Epithelial gapping
1,4,17,
1,4,18,
1,4,19,
1,4,20,
1,4,21,
1,4,22,
1,4,23,
1,4,24,
1,4,25,"Epithelial gapping, dysregulated epithelium, epithelial cell death"
1,4,26,
1,4,27,
1,4,28,
1,4,29,"Epithelial gapping, dysregulated epithelium"
1,4,30,
1,4,31,
1,4,32,
1,4,33,
1,4,34,
1,4,35,
1,4,36,
1,4,37,
1,4,38,
1,4,39,Epithelial gapping
1,4,40,
1,4,41,Epithelial gapping
2,3,1,
2,3,2,
2,3,3,Epithelial gapping
2,3,4,
2,3,5,
2,3,6,
2,3,7,
2,3,8,
2,3,9,
2,3,10,
2,3,11,
2,3,12,
2,3,13,
2,3,14,Epithelial gapping
2,3,15,
2,3,16,"Epithelial gapping, dysregulated epithelium"
2,3,17,
2,3,18,"Epithelial gapping, dysregulated epithelium"
2,3,19,
2,3,20,
2,3,21,
2,3,22,
2,3,23,
2,3,24,
2,3,25,
2,3,26,Epithelial gapping
2,3,27,
2,3,28,Epithelial gapping
2,3,29,
2,3,30,
2,3,31,"Epithelial gapping, dysregulated epithelium"
2,3,32,
4,3,1,"Epithelial gapping, dysregulated epithelium, epithelial cell death"
4,3,2,"Epithelial gapping, dysregulated epithelium, epithelial cell death"
4,3,3,Epithelial gapping
4,3,4,
4,3,5,
4,3,6,
4,3,7,Dysregulated epithelium
4,3,8,Impaired stalk development
4,3,9,
4,3,10,
4,3,11,
4,3,12,Dysregulated epithelium
4,3,13,
4,3,14,
4,3,15,
4,3,16,
4,3,17,
6,3,1,
6,3,2,
6,3,3,Dysregulated epithelium
6,3,4,
6,3,5,
6,3,6,
6,3,7,Dysregulated epithelium
6,3,8,
6,3,9,
6,3,10,
6,3,11,
6,3,12,
6,3,13,
6,3,14,
6,3,15,
6,3,16,
6,3,17,
6,3,18,
6,3,19,
6,3,20,"Epithelial gapping, dysregulated epithelium"
6,3,21,
6,3,22,
6,3,23,"Epithelial gapping, impaired stalk development"
6,3,24,Epithelial gapping
6,3,25,"Epithelial gapping, dysregulated epithelium"
6,3,26,"Epithelial gapping, dysregulated epithelium"
6,3,27,
6,3,28,Dysregulated epithelium
6,3,29,
6,3,30,Dysregulated epithelium
6,3,31,
6,3,32,Impaired stalk development
6,3,33,Dysregulated epithelium
6,3,34,Epithelial gapping
6,3,35,Dysregulated epithelium
6,3,36,Dysregulated epithelium
6,3,37,Dysregulated epithelium
