Weeks,N,n,EdU
1,1,1,15
1,1,2,8
1,1,3,2
1,1,4,3
1,1,5,14
1,1,6,2
1,1,7,4
1,1,8,0
1,1,9,11
1,1,10,7
1,1,11,2
1,1,12,8
1,1,13,1
1,1,14,1
1,1,15,1
1,1,16,5
1,2,1,0
1,2,2,3
1,2,3,10
1,2,4,5
1,2,5,6
1,2,6,0
1,2,7,5
1,2,8,8
1,2,9,9
1,2,10,3
1,2,11,10
1,2,12,12
1,2,13,4
1,2,14,3
1,2,15,0
1,2,16,4
1,2,17,6
1,2,18,0
1,2,19,8
1,2,20,7
1,2,21,14
1,2,22,6
6,1,1,14
6,1,2,16
6,1,3,21
6,1,4,1
6,1,5,11
6,1,6,7
6,1,7,8
6,1,8,17
6,1,9,13
6,1,10,28
6,1,11,15
6,1,12,19
6,1,13,10
6,1,14,30
1,3,1,6
1,3,2,6
1,3,3,8
1,3,4,5
1,3,5,8
1,3,6,0
1,3,7,4
1,3,8,6
1,3,9,11
1,3,10,2
1,3,11,17
1,3,12,7
1,3,13,5
1,3,14,9
1,3,15,10
1,3,16,4
6,2,1,16
6,2,2,8
6,2,3,16
6,2,4,15
6,2,5,15
6,2,6,10
6,2,7,11
6,2,8,8
6,2,9,10
6,2,10,12
6,2,11,18
6,2,12,13
6,2,13,16
6,2,14,13
1,4,1,10
1,4,2,5
1,4,3,5
1,4,4,8
1,4,5,14
1,4,6,16
1,4,7,8
1,4,8,4
1,4,9,12
1,4,10,18
1,4,11,3
1,4,12,6
1,4,13,5
1,4,14,11
1,4,15,4
1,4,16,14
1,4,17,8
1,4,18,3
1,4,19,9
1,4,20,10
1,4,21,13
1,4,22,11
1,4,23,8
1,4,24,10
1,4,25,9
1,4,26,8
1,4,27,8
1,4,28,0
1,4,29,12
1,4,30,13
1,4,31,8
1,4,32,4
1,4,33,7
1,4,34,10
1,4,35,3
1,4,36,6
1,4,37,8
1,4,38,8
1,4,39,5
1,4,40,10
1,4,41,15
6,3,1,11
6,3,2,7
6,3,3,8
6,3,4,3
6,3,5,7
6,3,6,9
6,3,7,6
6,3,8,11
6,3,9,9
6,3,10,12
6,3,11,2
6,3,12,4
6,3,13,6
6,3,14,1
6,3,15,9
6,3,16,8
6,3,17,15
6,3,18,2
6,3,19,4
6,3,20,3
6,3,21,9
6,3,22,8
6,3,23,9
6,3,24,16
6,3,25,13
6,3,26,23
6,3,27,9
6,3,28,17
6,3,29,18
6,3,30,14
6,3,31,14
6,3,32,5
6,3,33,14
6,3,34,11
6,3,35,9
6,3,36,15
6,3,37,9
