Weeks,N,n,gH2Av
1,1,1,1
1,1,2,0
1,1,3,1
1,1,4,0
1,1,5,2
1,1,6,1
1,1,7,2
1,1,8,2
1,2,1,1
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,2
1,2,6,1
1,2,7,0
1,2,8,2
1,2,9,3
1,2,10,3
1,2,11,1
1,3,1,4
1,3,2,2
1,3,3,1
1,3,4,1
1,3,5,0
1,3,6,2
1,3,7,0
1,3,8,1
1,3,9,0
1,3,10,2
1,3,11,1
1,3,12,0
1,3,13,3
1,3,14,1
1,3,15,1
1,3,16,0
6,1,1,6
6,1,2,3
6,1,3,2
6,1,4,6
6,1,5,3
6,1,6,4
6,1,7,5
6,1,8,1
6,1,9,4
6,1,10,2
6,1,11,3
6,1,12,2
6,1,13,3
6,1,14,4
6,1,15,2
6,1,16,4
6,1,17,5
6,1,18,2
6,1,19,1
6,1,20,1
6,2,1,3
6,2,2,6
6,2,3,5
6,2,4,2
6,2,5,2
6,2,6,3
6,2,7,0
6,2,8,1
6,2,9,4
6,3,1,2
6,3,2,4
6,3,3,4
6,3,4,6
6,3,5,10
6,3,6,2
6,3,7,5
6,3,8,3
6,3,9,3
6,3,10,2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
