Weeks,N,n,pHH3
1,5,1,1
1,5,2,0
1,5,3,0
1,5,4,1
1,5,5,0
1,5,6,2
1,5,7,1
1,5,8,0
1,5,9,0
1,5,10,2
1,5,11,1
1,5,12,0
1,5,13,0
1,5,14,3
1,5,15,1
1,5,16,1
1,5,17,2
1,5,18,0
1,5,19,0
1,5,20,0
1,5,21,0
1,5,22,1
1,5,23,0
6,4,1,0
6,4,2,0
6,4,3,1
6,4,4,0
6,4,5,1
6,4,6,1
6,4,7,0
6,4,8,3
6,4,9,2
6,4,10,0
6,4,11,1
6,4,12,0
6,4,13,0
6,4,14,0
6,4,15,0
6,4,16,0
6,4,17,0
6,4,18,1
6,4,19,0
6,4,20,1
6,4,21,1
6,4,22,1
6,5,1,2
6,5,2,2
6,5,3,0
6,5,4,0
6,5,5,0
6,5,6,1
6,5,7,1
6,5,8,0
6,5,9,0
6,5,10,0
6,5,11,0
6,5,12,0
6,5,13,0
6,5,14,2
6,5,15,0
6,5,16,0
6,5,17,2
6,5,18,1
6,5,19,0
6,5,20,3
6,5,21,0
6,5,22,0
6,5,23,0
6,5,24,2
6,5,25,0
6,5,26,0
6,5,27,2
6,5,28,1
6,5,29,0
6,6,1,0
6,6,2,0
6,6,3,1
6,6,4,0
6,6,5,0
6,6,6,1
6,6,7,0
6,6,8,1
6,6,9,4
6,6,10,1
6,6,11,0
6,6,12,1
6,6,13,1
6,6,14,2
6,6,15,2
6,6,16,4
6,6,17,0
6,6,18,0
6,6,19,0
6,6,20,3
6,6,21,2
6,6,22,1
6,6,23,4
6,6,24,0
6,6,25,0
6,6,26,3
6,7,1,0
6,7,2,2
6,7,3,0
6,7,4,0
6,7,5,0
6,7,6,0
6,7,7,0
6,7,8,0
6,7,9,1
6,7,10,0
6,7,11,0
6,7,12,0
6,7,13,0
6,7,14,0
6,7,15,1
6,7,16,1
6,7,17,0
6,7,18,1
1,6,1,2
1,6,2,0
1,6,3,2
1,6,4,4
1,6,5,0
1,6,6,2
1,6,7,1
1,6,8,2
1,6,9,0
1,6,10,4
1,6,11,0
1,6,12,3
1,6,13,2
1,6,14,0
1,6,15,1
1,6,16,0
1,6,17,2
1,6,18,0
1,6,19,2
1,6,20,1
1,6,21,2
1,6,22,0
1,6,23,0
1,6,24,2
1,6,25,2
1,6,26,1
1,6,27,0
1,6,28,0
1,6,29,0
1,6,30,1
1,6,31,1
1,6,32,2
1,6,33,0
1,6,34,0
1,6,35,0
1,6,36,1
1,6,37,0
1,6,38,0
1,6,39,0
1,6,40,0
1,6,41,2
1,6,42,1
1,6,43,0
1,6,44,0
1,6,45,1
1,6,46,2
1,6,47,0
1,6,48,2
1,6,49,2
1,6,50,1
1,6,51,1
1,6,52,1
1,6,53,0
1,6,54,0
1,6,55,0
1,6,56,0
1,6,57,0
1,6,58,1
1,6,59,3
1,6,60,1
1,6,61,0
1,6,62,0
1,6,63,3
1,6,64,0
1,6,65,0
1,6,66,3
1,6,67,0
1,6,68,0
1,6,69,2
1,6,70,4
1,6,71,2
1,6,72,1
1,6,73,0
1,6,74,1
1,6,75,2
1,6,76,1
1,6,77,0
1,6,78,0
1,6,79,0
1,6,80,0
1,6,81,1
1,6,82,1
1,6,83,0
1,6,84,0
1,6,85,0
1,6,86,3
1,6,87,0
1,6,88,1
1,6,89,3
1,6,90,3
1,6,91,2
1,6,92,1
1,6,93,0
1,6,94,1
1,6,95,2
1,6,96,1
1,6,97,0
1,6,98,0
1,6,99,1
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,1
1,7,6,0
1,7,7,2
1,7,8,0
1,7,9,1
1,7,10,0
1,7,11,2
1,7,12,0
1,7,13,1
1,7,14,0
1,7,15,0
1,7,16,1
1,7,17,1
1,7,18,3
1,7,19,0
1,7,20,1
1,7,21,0
1,7,22,4
1,7,23,6
1,7,24,1
1,7,25,1
1,7,26,2
1,7,27,1
1,7,28,1
1,7,29,2
1,7,30,1
1,7,31,4
1,7,32,0
1,7,33,0
1,7,34,0
1,7,35,1
1,7,36,0
1,7,37,0
1,7,38,0
1,7,39,1
1,7,40,2
1,7,41,1
1,7,42,2
1,7,43,2
1,7,44,0
1,7,45,0
1,7,46,1
1,7,47,0
1,7,48,0
1,7,49,0
1,7,50,1
1,7,51,0
1,7,52,0
1,7,53,1
1,7,54,2
1,7,55,0
1,7,56,1
1,7,57,1
1,7,58,0
1,7,59,0
1,7,60,1
1,7,61,5
1,7,62,0
1,7,63,1
1,7,64,0
1,7,65,1
1,7,66,1
1,7,67,1
1,7,68,2
1,7,69,0
1,7,70,3
1,7,71,0
1,7,72,1
1,7,73,2
1,7,74,0
1,7,75,0
1,7,76,3
1,7,77,2
1,7,78,0
6,8,1,0
6,8,2,1
6,8,3,3
6,8,4,1
6,8,5,1
6,8,6,0
6,8,7,0
6,8,8,0
6,8,9,1
6,8,10,1
6,8,11,1
6,8,12,1
6,8,13,0
6,8,14,0
6,8,15,0
6,8,16,0
6,8,17,1
6,8,18,1
6,8,19,0
6,8,20,0
6,8,21,0
6,8,22,3
6,8,23,0
6,8,24,0
6,8,25,1
6,8,26,0
6,8,27,1
6,8,28,0
6,8,29,0
