Weeks,N,n,Phenotype,LysoFas3
6,1,1,1,0
6,1,2,1,1
6,1,3,0,1
6,1,4,0,1
6,1,5,1,0
6,1,6,1,0
6,1,7,1,0
6,1,8,1,0
6,1,9,0,1
6,1,10,0,1
6,1,11,0,1
6,1,12,0,0
6,1,13,1,1
1,1,1,0,1
1,1,2,0,1
1,1,3,0,0
1,1,4,0,1
1,1,5,0,1
1,1,6,0,0
1,1,7,0,1
1,1,8,0,0
1,1,9,0,0
1,1,10,0,0
1,1,11,0,1
1,1,12,0,0
1,1,13,1,0
1,1,14,0,1
1,1,15,0,0
1,1,16,0,1
1,1,17,0,1
1,1,18,0,1
1,1,19,0,1
1,1,20,0,0
1,1,21,0,0
1,2,1,0,1
1,2,2,0,0
1,2,3,0,1
1,2,4,0,0
1,2,5,0,0
1,2,6,0,1
1,2,7,0,0
1,2,8,0,1
1,2,9,0,1
1,2,10,0,1
1,2,11,0,1
1,2,12,0,0
1,2,13,1,0
1,2,14,0,1
1,2,15,0,0
1,2,16,0,1
1,2,17,1,0
6,2,1,1,1
6,2,2,1,0
6,2,3,1,0
6,2,4,0,1
6,2,5,1,0
6,2,6,1,1
6,2,7,1,0
6,2,8,1,0
6,2,9,1,1
6,2,10,1,1
6,2,11,0,1
6,2,12,1,0
6,2,13,1,0
6,2,14,0,1
6,2,15,1,0
6,2,16,1,0
6,2,17,0,1
6,2,18,1,0
6,2,19,1,0
6,2,20,1,0
6,2,21,1,1
6,2,22,1,0
6,2,23,1,0
6,2,24,1,0
6,2,25,1,0
6,2,26,0,1
6,2,27,1,0
6,2,28,1,1
6,2,29,1,1
6,2,30,1,0
6,2,31,1,0
6,2,32,0,1
6,2,33,1,1
6,2,34,1,0
6,2,35,1,0
6,2,36,1,0
6,2,37,1,1
6,2,38,1,0
6,2,39,1,1
6,2,40,1,1
6,2,41,1,0
6,2,42,1,1
1,3,1,0,1
1,3,2,0,0
1,3,3,0,1
1,3,4,0,0
1,3,5,0,1
1,3,6,0,0
1,3,7,0,1
1,3,8,0,0
1,3,9,0,1
1,3,10,0,0
1,3,11,0,1
1,3,12,0,1
1,3,13,0,0
1,3,14,0,1
1,3,15,0,0
1,3,16,0,1
1,3,17,0,0
1,3,18,0,1
1,3,19,0,1
1,3,20,0,0
1,3,21,0,0
1,3,22,0,0
1,3,23,0,1
1,3,24,0,0
1,3,25,0,0
1,3,26,1,1
1,3,27,1,0
1,3,28,0,0
1,3,29,0,0
1,3,30,0,1
1,3,31,0,0
1,3,32,0,1
1,3,33,0,0
1,3,34,0,0
1,3,35,0,1
1,3,36,0,0
1,3,37,1,0
1,3,38,0,1
1,3,39,0,1
1,3,40,0,1
1,3,41,0,0
1,3,42,0,1
1,3,43,0,0
1,3,44,0,1
1,3,45,0,1
1,3,46,0,1
1,3,47,0,0
1,3,48,0,1
1,3,49,0,0
1,3,50,0,0
1,3,51,0,0
1,3,52,0,1
1,3,53,0,1
1,3,54,1,1
1,3,55,0,1
1,3,56,0,1
1,3,57,0,1
1,3,58,0,0
1,3,59,0,0
1,3,60,0,1
1,3,61,0,0
1,3,62,0,0
1,3,63,0,1
1,3,64,0,0
1,3,65,0,0
1,3,66,0,1
1,3,67,0,0
1,3,68,0,1
1,3,69,0,0
1,3,70,0,1
1,3,71,0,1
1,3,72,0,1
1,3,73,0,0
1,3,74,0,0
1,3,75,0,0
1,3,76,0,1
1,3,77,0,0
1,3,78,1,1
1,3,79,0,0
1,3,80,0,1
1,3,81,1,0
1,3,82,0,1
1,3,83,0,0
1,3,84,0,0
1,3,85,0,0
1,3,86,0,1
6,3,1,1,0
6,3,2,0,1
6,3,3,1,0
6,3,4,0,0
6,3,5,0,1
6,3,6,1,0
6,3,7,1,1
6,3,8,0,1
6,3,9,1,1
6,3,10,1,0
6,3,11,0,1
6,3,12,0,0
6,3,13,1,0
6,3,14,1,0
6,3,15,1,0
6,3,16,0,1
6,3,17,0,0
6,3,18,1,0
6,3,19,0,1
6,3,20,1,0
6,3,21,0,1
6,3,22,1,1
6,3,23,0,0
6,3,24,0,0
6,3,25,1,0
6,3,26,1,0
6,3,27,0,0
6,3,28,0,1
