Weeks,N,n,Phenotype,TUNELFas3Border
1,1,1,0,1
1,1,2,1,0
1,1,3,1,1
1,1,4,0,1
1,1,5,0,1
1,1,6,1,0
1,1,7,0,0
1,1,8,0,0
1,1,9,0,0
1,1,10,1,0
1,1,11,1,0
1,1,12,1,0
1,1,13,0,1
1,1,14,0,0
1,1,15,0,1
1,1,16,0,1
1,1,17,0,1
1,1,18,0,0
1,1,19,0,0
1,1,20,0,1
1,1,21,0,1
1,1,22,1,1
1,1,23,1,1
1,1,24,0,0
1,1,25,0,1
1,1,26,0,0
1,1,27,0,1
1,1,28,0,0
1,1,29,0,1
1,1,30,0,1
1,1,31,0,1
1,1,32,0,0
1,1,33,0,1
1,1,34,0,0
1,1,35,0,1
1,1,36,0,1
1,1,37,1,0
1,1,38,0,0
1,1,39,0,0
1,1,40,0,1
1,1,41,0,1
1,1,42,0,1
1,1,43,0,1
1,1,44,0,1
1,1,45,1,0
1,1,46,0,1
1,1,47,0,0
1,1,48,0,0
1,1,49,0,1
6,1,1,1,0
6,1,2,1,0
6,1,3,1,1
6,1,4,1,0
6,1,5,1,0
6,1,6,1,0
6,1,7,1,1
6,1,8,1,0
6,1,9,1,0
6,1,10,1,0
6,1,11,1,0
6,1,12,1,0
6,1,13,1,1
6,1,14,1,0
6,1,15,1,0
6,1,16,1,0
6,1,17,1,1
6,1,18,1,0
6,1,19,1,1
6,1,20,1,0
6,1,21,1,1
6,1,22,0,1
6,1,23,1,1
6,1,24,1,0
6,1,25,0,1
6,1,26,1,0
6,1,27,1,0
6,1,28,1,1
6,1,29,0,1
6,1,30,1,0
6,1,31,1,0
6,1,32,1,0
6,1,33,1,1
6,2,1,1,0
6,2,2,1,0
6,2,3,1,0
6,2,4,1,0
6,2,5,1,0
6,2,6,0,1
6,2,7,1,0
6,2,8,1,0
6,2,9,0,1
6,2,10,1,0
6,2,11,0,1
6,2,12,1,0
6,2,13,0,0
6,2,14,1,0
6,2,15,1,0
6,2,16,1,0
6,2,17,0,0
6,2,18,1,0
6,2,19,1,0
6,2,20,0,1
6,2,21,1,0
6,2,22,1,0
6,2,23,1,0
6,2,24,1,0
6,2,25,1,1
6,2,26,1,0
6,2,27,1,0
6,2,28,1,1
6,2,29,1,0
6,2,30,1,0
6,2,31,1,0
6,2,32,0,0
6,2,33,0,0
6,2,34,0,0
6,2,35,0,0
1,2,1,0,0
1,2,2,1,1
1,2,3,0,0
1,2,4,0,0
1,2,5,0,1
1,2,6,0,0
1,2,7,0,0
1,2,8,0,1
1,2,9,0,1
1,2,10,0,1
1,2,11,0,0
1,2,12,1,1
1,2,13,1,1
1,2,14,0,1
1,2,15,0,1
1,2,16,0,0
1,2,17,0,0
1,2,18,0,0
1,2,19,0,0
1,2,20,1,0
1,2,21,0,0
1,2,22,0,0
1,2,23,0,0
1,2,24,1,0
1,2,25,0,1
1,2,26,0,0
1,2,27,0,0
1,2,28,0,1
1,2,29,1,0
1,2,30,1,1
1,2,31,0,1
1,2,32,0,1
1,2,33,1,0
1,2,34,1,0
6,3,1,1,1
6,3,2,1,1
6,3,3,0,1
6,3,4,1,1
6,3,5,1,0
6,3,6,1,1
6,3,7,0,1
6,3,8,1,1
6,3,9,1,0
6,3,10,0,1
6,3,11,1,1
6,3,12,1,0
6,3,13,0,1
6,3,14,1,1
6,3,15,0,1
6,3,16,0,1
6,3,17,1,1
6,3,18,0,1
6,3,19,0,0
6,3,20,1,0
6,3,21,0,1
6,3,22,0,1
6,3,23,1,0
6,3,24,1,1
6,3,25,1,0
6,3,26,1,0
6,3,27,1,0
6,3,28,1,1
6,3,29,1,1
6,3,30,0,1
6,3,31,0,1
6,3,32,1,0
6,3,33,1,1
6,3,34,0,1
6,3,35,1,0
6,3,36,0,1
6,3,37,1,1
6,3,38,1,0
6,3,39,1,0
6,3,40,1,1
6,3,41,1,0
6,3,42,1,1
6,3,43,1,1
6,3,44,0,1
6,3,45,1,0
6,3,46,0,1
6,3,47,1,0
6,3,48,1,0
6,3,49,0,1
6,3,50,0,1
6,3,51,0,1
