Weeks,Genotype,N,n,Phenotype,LysoFas3
6,Control,1,1,1,0
6,Control,1,2,1,0
6,Control,1,3,1,0
6,Control,1,4,0,0
6,Control,1,5,1,0
6,Control,1,6,1,0
6,Control,1,7,0,1
6,Control,1,8,0,0
6,Control,1,9,0,1
6,Control,1,10,1,1
6,Exp,1,1,0,0
6,Exp,1,2,0,1
6,Exp,1,3,0,1
6,Exp,1,4,0,1
6,Exp,1,5,1,1
6,Exp,1,6,0,0
6,Exp,1,7,1,0
6,Control,2,1,1,0
6,Control,2,2,0,1
6,Control,2,3,0,0
6,Control,2,4,0,1
6,Control,2,5,1,0
6,Control,2,6,1,0
6,Control,2,7,1,1
6,Control,2,8,1,0
6,Control,2,9,1,0
6,Control,2,10,0,0
6,Control,2,11,1,0
6,Control,2,12,0,1
6,Control,2,13,1,1
6,Control,2,14,1,1
6,Control,2,15,1,0
6,Control,2,16,0,1
6,Control,2,17,1,1
6,Control,2,18,1,0
6,Control,2,19,0,1
6,Control,2,20,0,0
6,Control,2,21,1,1
6,Exp,2,1,1,0
6,Exp,2,2,1,0
6,Exp,2,3,1,1
6,Exp,2,4,1,0
6,Exp,2,5,0,0
6,Exp,2,6,1,0
6,Exp,2,7,1,1
6,Exp,2,8,1,0
6,Exp,2,9,0,0
6,Exp,2,10,1,0
6,Exp,2,11,1,0
6,Exp,2,12,0,0
6,Exp,2,13,1,0
6,Exp,2,14,1,1
6,Exp,2,15,1,0
6,Exp,2,16,0,0
6,Exp,2,17,1,0
6,Exp,2,18,1,0
6,Exp,2,19,1,0
6,Exp,2,20,0,0
6,Exp,2,21,0,0
6,Exp,2,22,0,1
6,Exp,2,23,0,0
6,Exp,2,24,1,0
6,Exp,2,25,1,0
6,Exp,2,26,0,0
6,Exp,2,27,0,0
6,Exp,2,28,1,0
6,Exp,2,29,1,0
6,Exp,2,30,0,0
6,Exp,2,31,1,0
6,Exp,2,32,0,1
6,Exp,2,33,0,1
6,Exp,2,34,0,0
6,Exp,2,35,0,1
6,Exp,2,36,0,1
6,Exp,2,37,0,0
6,Exp,2,38,1,0
6,Exp,2,39,0,1
6,Exp,2,40,0,0
6,Control,3,1,0,0
6,Control,3,2,0,1
6,Control,3,3,0,1
6,Control,3,4,1,0
6,Control,3,5,0,1
6,Control,3,6,1,0
6,Control,3,7,0,1
6,Control,3,8,0,0
6,Control,3,9,1,0
6,Control,3,10,0,1
6,Control,3,11,1,1
6,Control,3,12,0,0
6,Control,3,13,0,0
6,Control,3,14,1,1
6,Control,3,15,0,0
6,Control,3,16,1,1
6,Control,3,17,1,0
6,Control,3,18,1,0
6,Control,3,19,0,1
6,Control,3,20,1,0
6,Exp,3,1,0,0
6,Exp,3,2,1,0
6,Exp,3,3,0,0
6,Exp,3,4,0,1
6,Exp,3,5,0,0
6,Exp,3,6,0,0
6,Exp,3,7,0,1
6,Exp,3,8,0,0
6,Exp,3,9,1,0
6,Exp,3,10,0,0
6,Exp,3,11,0,1
6,Exp,3,12,0,1
6,Exp,3,13,0,0
6,Exp,3,14,1,0
6,Exp,3,15,1,1
6,Exp,3,16,0,1
6,Exp,3,17,1,0
6,Exp,3,18,0,0
6,Exp,3,19,1,1
6,Exp,3,20,1,0
6,Exp,3,21,0,0
6,Exp,3,22,1,0
6,Exp,3,23,0,0
6,Exp,3,24,0,0
6,Exp,3,25,1,0
6,Exp,3,26,0,0
6,Exp,3,27,0,1
6,Exp,3,28,0,1
6,Exp,3,29,0,0
6,Exp,3,30,1,0
6,Exp,3,31,1,0
6,Exp,3,32,0,0
6,Exp,3,33,1,1
6,Exp,3,34,0,0
6,Exp,3,35,0,0
6,Exp,3,36,0,1
6,Exp,3,37,1,0
