Weeks,Genotype,N,n,gH2Av
6,Control,1,1,1
6,Control,1,2,1
6,Control,1,3,0
6,Control,1,4,2
6,Control,1,5,2
6,Control,1,6,2
6,Control,1,7,1
6,Control,1,8,1
6,Control,1,9,0
6,Control,1,10,4
6,Control,1,11,3
6,Control,1,12,2
6,Control,1,13,0
6,Control,1,14,0
6,Control,1,15,0
6,Control,1,16,6
6,Control,1,17,1
6,Control,1,18,0
6,Control,1,19,1
6,Control,1,20,1
6,Control,1,21,1
6,Control,1,22,4
6,Control,1,23,0
6,Control,1,24,3
6,Control,1,25,0
6,Control,1,26,5
6,Control,1,27,2
6,Control,1,28,4
6,Control,1,29,1
6,Control,1,30,3
6,Control,1,31,0
6,Control,1,32,2
6,Exp,1,1,1
6,Exp,1,2,0
6,Exp,1,3,0
6,Exp,1,4,2
6,Exp,1,5,3
6,Exp,1,6,0
6,Exp,1,7,0
6,Exp,1,8,3
6,Exp,1,9,3
6,Exp,1,10,0
6,Exp,1,11,1
6,Exp,1,12,1
6,Exp,1,13,0
6,Exp,1,14,0
6,Exp,1,15,2
6,Exp,1,16,1
6,Exp,1,17,1
6,Exp,1,18,0
6,Exp,1,19,2
6,Exp,1,20,0
6,Exp,1,21,3
6,Exp,1,22,0
6,Exp,1,23,0
6,Exp,1,24,0
6,Exp,1,25,2
6,Exp,1,26,1
6,Exp,1,27,0
6,Exp,1,28,0
6,Exp,1,29,1
6,Exp,1,30,3
6,Exp,1,31,0
6,Exp,1,32,2
6,Exp,1,33,2
6,Control,2,1,1
6,Control,2,2,2
6,Control,2,3,3
6,Control,2,4,2
6,Control,2,5,1
6,Control,2,6,3
6,Control,2,7,2
6,Control,2,8,0
6,Control,2,9,4
6,Control,2,10,2
6,Control,2,11,0
6,Control,2,12,2
6,Control,2,13,2
6,Control,2,14,1
6,Control,2,15,0
6,Control,2,16,3
6,Control,2,17,1
6,Control,2,18,2
6,Control,2,19,2
6,Control,2,20,1
6,Exp,2,1,4
6,Exp,2,2,0
6,Exp,2,3,1
6,Exp,2,4,1
6,Exp,2,5,0
6,Exp,2,6,2
6,Exp,2,7,1
6,Exp,2,8,3
6,Exp,2,9,0
6,Exp,2,10,0
6,Exp,2,11,2
6,Exp,2,12,0
6,Exp,2,13,4
6,Exp,2,14,2
6,Exp,2,15,2
6,Exp,2,16,2
6,Exp,2,17,0
6,Exp,2,18,0
6,Exp,2,19,1
6,Exp,2,20,1
6,Exp,2,21,0
6,Exp,2,22,0
6,Exp,2,23,0
6,Exp,2,24,2
6,Exp,2,25,1
6,Control,3,1,3
6,Control,3,2,1
6,Control,3,3,3
6,Control,3,4,0
6,Control,3,5,2
6,Control,3,6,1
6,Control,3,7,1
6,Control,3,8,3
6,Control,3,9,0
6,Control,3,10,2
6,Control,3,11,2
6,Control,3,12,2
6,Control,3,13,1
6,Control,3,14,1
6,Control,3,15,1
6,Control,3,16,2
6,Control,3,17,2
6,Control,3,18,0
6,Control,3,19,1
6,Control,3,20,0
6,Control,3,21,4
6,Control,3,22,4
6,Control,3,23,1
6,Control,3,24,1
6,Control,3,25,2
6,Exp,3,1,2
6,Exp,3,2,1
6,Exp,3,3,1
6,Exp,3,4,3
6,Exp,3,5,2
6,Exp,3,6,0
6,Exp,3,7,1
6,Exp,3,8,1
6,Exp,3,9,2
6,Exp,3,10,1
6,Exp,3,11,0
6,Exp,3,12,1
6,Exp,3,13,0
6,Exp,3,14,0
6,Exp,3,15,2
6,Exp,3,16,0
6,Exp,3,17,1
6,Exp,3,18,1
6,Exp,3,19,0
6,Exp,3,20,0
6,Exp,3,21,0
6,Exp,3,22,0
6,Exp,3,23,2
6,Exp,3,24,1
6,Exp,3,25,3
6,Exp,3,26,1
