Gene,avg_log2FC,p_val_adj
Vm34Ca,-4.91316797613177,0
mt:ND1,-0.820834822027277,0
mt:CoI,-0.874626223925837,0
mt:CoII,-0.82395617297103,0
mt:ATPase6,-0.870644706864918,0
mt:CoIII,-0.767008692070906,0
mt:Cyt-b,-0.598389179720052,0
SCaMC,0.824504447063298,1.41260666371085e-293
Socs36E,0.614421072553628,1.00224436201426e-278
mt:ND3,-0.882708943448905,2.3261163525095e-265
CG32512,1.43291457841169,2.65241668565766e-257
Ets21C,1.52686838614091,6.486155652263438e-223
Vm26Aa,-4.1635429298296,4.08333433450538e-205
Cp15,-2.35126955307056,1.0408149561092399e-170
CG5346,0.680465301575876,1.33717933887587e-169
B4,0.694510702292012,3.73991784241843e-169
Yp2,-1.2292007391657,2.0185765253039297e-154
Vm26Ab,-3.4453433913326,2.4666575418850196e-152
CG5835,0.984663704007452,2.0969378217921e-136
Swip-1,0.726612208975118,1.29560474703962e-127
Fas3,0.593834135739165,3.99151606917205e-123
Drs,0.649151375443184,1.29982575165392e-122
mthl5,0.648783999149001,3.8344780325285397e-119
AdamTS-A,0.504126749594991,2.8633824488888397e-98
Tsp42Ef,0.536949560139334,9.418851966930718e-97
mt:ATPase8,-1.13230906647071,9.869855807712239e-95
insc,0.544078107361309,7.646616505554709e-91
CG10098,0.554897412547009,2.2228062919205296e-89
Act42A,0.609759100199327,6.1138854278958885e-89
Cp36,-5.56085856732709,2.18566471287824e-85
rpr,0.683034695869653,1.60028003038039e-82
per,0.628570371536477,1.98283913348907e-82
CG34417,0.670082636833245,1.68475879445255e-81
prage,0.520252146275883,1.81726939955098e-80
Rel,0.841054221626454,6.782252056048039e-76
SH3PX1,0.666482272030421,2.23863560475681e-73
Orct2,0.543829063921112,7.45993254327943e-69
Mur18B,-3.56006373863252,1.98839435938415e-68
MCU,0.530575358228348,2.06840775558581e-68
CG45080,-5.47393277730983,3.1038318764722002e-68
Cp38,-6.70203428342058,2.1488681658583e-65
Yp1,-1.88503686039393,2.05331466211445e-64
cher,0.797954820735145,4.12943788321831e-64
Mmp1,0.764561183111334,1.95607060827341e-63
Myo31DF,0.510937721990801,6.90214835216105e-59
