"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Vm34Ca",0,-4.91316797613177,0.062,0.359,0
"mt:ND1",0,-0.820834822027277,0.918,0.967,0
"mt:CoI",0,-0.874626223925837,1,1,0
"mt:CoII",0,-0.82395617297103,1,1,0
"mt:ATPase6",0,-0.870644706864918,1,1,0
"mt:CoIII",0,-0.767008692070906,1,1,0
"mt:Cyt-b",0,-0.598389179720052,1,1,0
"SCaMC",1.19237500102207e-304,0.824504447063298,0.748,0.526,1.41260666371085e-300
"Socs36E",8.45990007608895e-283,0.614421072553628,0.898,0.762,1.00224436201426e-278
"mt:ND3",1.96346446569553e-269,-0.882708943448905,0.765,0.859,2.3261163525095e-265
"CG32512",2.23889312539686e-261,1.43291457841169,0.441,0.232,2.65241668565766e-257
"Ets21C",5.47493513316741e-227,1.52686838614091,0.268,0.096,6.48615565226344e-223
"Vm26Aa",3.44672434751868e-209,-4.1635429298296,0.039,0.171,4.08333433450538e-205
"Cp15",8.78547274507674e-175,-2.35126955307056,0.034,0.151,1.04081495610924e-170
"CG5346",1.12870713165854e-173,0.680465301575876,0.554,0.362,1.33717933887587e-169
"B4",3.15684801419636e-173,0.694510702292012,0.647,0.45,3.73991784241843e-169
"Hsc70-4",1.25596896055306e-170,0.29183789441133,0.968,0.934,1.48794642756721e-166
"alphaTub84B",9.15665517486871e-169,0.40326242773933,0.968,0.933,1.0847889385667e-164
"Yp2",1.70387146560642e-158,-1.2292007391657,0.359,0.52,2.01857652530393e-154
"mt:ND5",4.56273204217958e-158,-0.49731956866106,0.986,0.996,5.40546865037015e-154
"Act5C",8.09597553175322e-158,0.447841964716324,0.952,0.94,9.59130221246804e-154
"Vm26Ab",2.0820946584663e-156,-3.4453433913326,0.11,0.247,2.46665754188502e-152
"CG5835",1.77001588739098e-140,0.984663704007452,0.311,0.164,2.0969378217921e-136
"eIF4A",7.84823078049649e-139,0.234349972324636,0.972,0.948,9.29779900565419e-135
"14-3-3epsilon",1.0522573134582e-134,0.331553357528955,0.938,0.891,1.24660923925393e-130
"Tctp",3.16256679510799e-132,0.28059161474653,0.947,0.904,3.74669288216444e-128
"Swip-1",1.09361420362929e-131,0.726612208975118,0.464,0.296,1.29560474703962e-127
"chic",2.26224373509242e-131,0.352599659222599,0.931,0.873,2.68008015296399e-127
"RpS6",2.66209744551459e-127,0.235831014822415,0.97,0.95,3.15378684370113e-123
"Fas3",3.36922095819368e-127,0.593834135739165,0.856,0.731,3.99151606917205e-123
"Drs",1.09717713484757e-126,0.649151375443184,0.085,0.014,1.29982575165392e-122
"CG11050",3.45992967275448e-124,0.46849646068431,0.723,0.597,4.09897868331223e-120
"mthl5",3.23666585002831e-123,0.648783999149001,0.293,0.151,3.83447803252854e-119
"Cyt-c-p",9.42897359008419e-119,0.476902783206043,0.731,0.596,1.11705050121727e-114
"stck",4.84417771757634e-108,0.388467115635634,0.673,0.515,5.73889734201269e-104
"RpL6",1.85330416975938e-106,0.213290716648407,0.978,0.961,2.19560944991394e-102
"RpL14",3.22830541041548e-104,0.221472110996494,0.989,0.976,3.82457341971922e-100
"AdamTS-A",2.41696838768366e-102,0.504126749594991,0.615,0.458,2.86338244888884e-98
"Tsp42Ef",7.95041104662e-101,0.536949560139334,0.363,0.217,9.41885196693072e-97
"RpS27A",6.00147320896223e-99,0.233921001502962,0.978,0.963,7.10994531065756e-95
"mt:ATPase8",8.33110138238562e-99,-1.13230906647071,0.345,0.45,9.86985580771224e-95
"RpL13",3.23197152614595e-96,0.203464130649217,0.985,0.973,3.8289166670251e-92
"insc",6.4544749772556e-95,0.544078107361309,0.361,0.224,7.64661650555471e-91
"CG10098",1.87626090311516e-93,0.554897412547009,0.303,0.178,2.22280629192053e-89
"Act42A",5.16070349277951e-93,0.609759100199327,0.757,0.652,6.11388542789589e-89
"Jra",2.436712934648e-92,0.458397449083813,0.518,0.372,2.88677381367749e-88
"Pax",1.48637419506278e-91,0.414040685936935,0.558,0.4,1.76090750889087e-87
"CG11791",1.97206654827648e-91,0.451691350357314,0.697,0.558,2.33630723974314e-87
"eEF1alpha1",5.21470110118514e-90,0.193825279936572,0.995,0.99,6.17785639457404e-86
"Cp36",1.84490986146555e-89,-5.56085856732709,0.009,0.062,2.18566471287824e-85
"CG14207",2.03226878802787e-89,0.438480652090282,0.653,0.501,2.40762883317662e-85
"Tsp42Ee",3.20794295593361e-89,0.325679549247762,0.927,0.869,3.80045001989454e-85
"RpL23A",7.7449543332203e-89,0.212240529649474,0.977,0.964,9.17544739856609e-85
"RpL5",4.39505851553763e-88,0.24322143646503,0.95,0.923,5.20682582335743e-84
"RpL31",2.20752537902883e-87,0.187687133516228,0.989,0.98,2.61525531653546e-83
"Lac",3.28896531029004e-87,0.499355690282967,0.547,0.392,3.89643720310062e-83
"rpr",1.35078925498472e-86,0.683034695869653,0.405,0.276,1.60028003038039e-82
"per",1.67370569214913e-86,0.628570371536477,0.267,0.152,1.98283913348907e-82
"FER",7.93489900023266e-86,0.385600609069356,0.731,0.623,9.40047484557563e-82
"CG34417",1.42209740394408e-85,0.670082636833245,0.722,0.603,1.68475879445255e-81
"shg",2.6672684414065e-85,0.395967193357056,0.741,0.613,3.15991292253428e-81
"Ect4",6.05679830580811e-85,0.406765100450837,0.863,0.764,7.17548895289087e-81
"prage",1.53394901624967e-84,0.520252146275883,0.672,0.545,1.81726939955098e-80
"CG1890",3.34283407479928e-84,0.432539089938948,0.593,0.451,3.96025552841471e-80
"Dmtn",4.34938549710305e-84,0.433033348195472,0.6,0.452,5.15271699841798e-80
"RpL24",5.98836728766772e-84,0.188349339428094,0.991,0.979,7.09441872569995e-80
"Pgd",1.17456057446851e-83,0.452740166644691,0.453,0.319,1.39150191257284e-79
"Vrp1",3.93789266898534e-83,0.417004292047778,0.414,0.276,4.66522144494693e-79
"GATAd",4.84183737387598e-83,0.353349005091833,0.476,0.331,5.73612473683088e-79
"Src42A",1.40091863865577e-82,0.35088535875535,0.639,0.49,1.65966831121549e-78
"Men-b",3.90241043772271e-82,0.376017553867304,0.615,0.477,4.6231856455701e-78
"Arl8",7.28536974209299e-82,0.438886202913436,0.512,0.372,8.63097753345756e-78
"sqh",1.38455901590519e-81,0.473762055505246,0.817,0.709,1.64028706614287e-77
"eEF5",2.92049353493662e-81,0.242456376843369,0.957,0.925,3.45990869083941e-77
"Rel",5.72486879045163e-80,0.841054221626454,0.407,0.278,6.78225205604804e-76
"CG6357",8.16324617032777e-80,0.475255395726398,0.599,0.458,9.67099773798731e-76
"CG7220",1.26891593289581e-79,0.49492064445649,0.728,0.595,1.50328470570166e-75
"stv",3.13220156824845e-79,0.264456426444329,0.809,0.698,3.71071919790394e-75
"18w",8.38965304395207e-79,0.250241639625636,0.617,0.473,9.93922196117002e-75
"SH3PX1",1.88962235566541e-77,0.666482272030421,0.339,0.219,2.23863560475681e-73
"Rab6",9.09812053292917e-77,0.368477808265416,0.565,0.423,1.07785433953612e-72
"CG2765",5.71253981726592e-76,0.356623482686215,0.49,0.352,6.76764592151494e-72
"CCT6",1.08481688529564e-75,0.349363109290645,0.646,0.527,1.28518256400974e-71
"Pak3",5.70905403406818e-75,0.366830644337543,0.636,0.5,6.76351631416058e-71
"kuz",3.20007950162326e-74,0.330797848353395,0.886,0.826,3.79113418557308e-70
"scyl",3.86651895245222e-74,0.245528838543259,0.949,0.914,4.58066500297015e-70
"cpa",9.94906916244063e-74,0.39456048871662,0.394,0.264,1.17866622367434e-69
"Rap1",1.36891955300464e-73,0.27740745508284,0.843,0.753,1.6217589944446e-69
"CG6115",4.50187798721936e-73,0.339696984551729,0.634,0.494,5.33337485145877e-69
"Orct2",6.29689587514091e-73,0.543829063921112,0.238,0.138,7.45993254327943e-69
"Mur18B",1.67839483361539e-72,-3.56006373863252,0.018,0.07,1.98839435938415e-68
"RpL4",1.69052385829178e-72,0.183874594665401,0.976,0.961,2.00276361491827e-68
"MCU",1.74593378541894e-72,0.530575358228348,0.27,0.163,2.06840775558581e-68
"Imp",1.88449477713493e-72,0.228505905319059,0.947,0.928,2.23256096247175e-68
"CG45080",2.6199306798955e-72,-5.47393277730983,0.001,0.035,3.1038318764722e-68
"EndoGI",2.64878499034044e-72,0.403937512156982,0.453,0.324,3.13801557805632e-68
"Mlc-c",2.84863864048032e-72,0.339611555118889,0.837,0.759,3.37478219737703e-68
"RpS15Aa",2.91445936064084e-72,0.196023912772327,0.964,0.939,3.4527600045512e-68
"CG10527",3.34981022076838e-71,0.325991110857299,0.542,0.398,3.9685201685443e-67
"NAT1",4.0177825190217e-71,0.303548924378894,0.735,0.607,4.75986695028501e-67
"Moe",5.36702961919623e-71,0.317553529247202,0.911,0.859,6.35831998986177e-67
"koi",6.99418081732418e-71,0.312668032752694,0.489,0.35,8.28600601428396e-67
"CG31523",1.51926929140462e-70,0.285824351846957,0.597,0.463,1.79987832952705e-66
"spict",2.4461520252461e-70,0.399319855806602,0.39,0.27,2.89795630430906e-66
"Rac2",5.23528823432701e-70,0.350488048664377,0.789,0.671,6.20224597120721e-66
"vri",7.18573432591868e-70,0.334255600294011,0.55,0.41,8.51293945591586e-66
"Vps4",7.87481059368314e-70,0.3794774396079,0.529,0.398,9.32928811033642e-66
"RpL32",1.62896697039362e-69,0.181772148881627,0.986,0.976,1.92983716982532e-65
"Cp38",1.81385005981118e-69,-6.70203428342058,0.005,0.043,2.1488681658583e-65
"RpL17",3.2513626465995e-69,0.174094858043034,0.987,0.979,3.85188932742643e-65
"Yp1",1.73319377235962e-68,-1.88503686039393,0.208,0.301,2.05331466211445e-64
"cher",3.485640147901e-68,0.797954820735145,0.484,0.359,4.12943788321831e-64
"Mmp1",1.65111049909126e-67,0.764561183111334,0.282,0.179,1.95607060827341e-63
"sky",2.12938619814654e-67,0.30643571419807,0.514,0.377,2.52268382894421e-63
"Rab10",1.10028659508982e-66,0.425145594180275,0.639,0.513,1.30350952920291e-62
"CG1146",1.3855854312596e-66,0.360165009209364,0.371,0.253,1.64150306041325e-62
"Ptpmeg2",1.86993854223718e-66,0.342922551328732,0.559,0.428,2.21531619098839e-62
"pico",5.13623022080411e-66,0.274267694495036,0.765,0.638,6.08489194258663e-62
"CG2310",8.77728336100796e-66,0.339089290898364,0.53,0.399,1.03984475977861e-61
"RhoL",1.34332617390946e-65,0.383912697834612,0.429,0.302,1.59143851823054e-61
"CG30069",2.98250069016224e-65,0.485172612653128,0.535,0.409,3.5333685676352e-61
"shrb",4.88004718856846e-65,0.30374580309296,0.793,0.696,5.78139190429706e-61
"srp",7.0507257770682e-65,0.473300006114871,0.312,0.201,8.3529948280927e-61
"IP3K1",8.25951473127184e-65,0.338866233761452,0.584,0.457,9.78504710213775e-61
"fabp",1.59174443594921e-64,0.377458674479472,0.754,0.664,1.88573963326903e-60
"CalpB",1.1752621569131e-63,0.366018641268449,0.379,0.26,1.39233307729495e-59
"RpS14a",2.55335878058198e-63,0.174932631267342,0.964,0.939,3.02496414735547e-59
"Khc",2.81976402055986e-63,0.33111285336415,0.536,0.409,3.34057443515727e-59
"eIF3a",3.4474925149328e-63,0.288492747781875,0.723,0.625,4.08424438244088e-59
"CG17734",4.80805089990419e-63,0.365573152425621,0.525,0.403,5.6960979011165e-59
"crb",5.24511886325131e-63,0.236266460403782,0.812,0.735,6.21389231729382e-59
"Myo31DF",5.82607272065591e-63,0.510937721990801,0.424,0.304,6.90214835216105e-59
"mbc",6.90151313289985e-63,0.46176733622715,0.512,0.387,8.17622260854645e-59
"ush",1.14028995798533e-62,0.180569639052852,0.552,0.412,1.35090151322521e-58
"sra",4.81896355085387e-62,0.377086989120358,0.371,0.253,5.70902611869658e-58
