"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt:CoI",2.2916064032419e-189,-1.07721229484076,1,1,2.71486610592068e-185
"mt:CoII",3.24049508933925e-187,-1.05773740673432,1,1,3.83901453234021e-183
"mt:CoIII",7.09742579106774e-183,-1.00688287516781,1,1,8.40832033467795e-179
"mt:ATPase6",9.33418125898693e-174,-1.11016785608396,0.999,1,1.10582045375218e-169
"mt:Cyt-b",1.5060769094702e-126,-0.816656904826567,1,1,1.78424931464934e-122
"mt:ND1",1.03139361852887e-83,-1.03245169907595,0.848,0.944,1.22189201987115e-79
"mt:ND5",3.99813402937777e-78,-0.766500373253761,0.978,0.997,4.73658938460384e-74
"Vm34Ca",5.80721451367092e-71,-4.17250511302071,0.038,0.305,6.87980703434594e-67
"SCaMC",4.6801288731407e-69,1.14666569909612,0.776,0.48,5.54454867600979e-65
"mt:ND3",1.34874905353163e-61,-1.19656249343132,0.582,0.772,1.59786300371892e-57
"mt:ND4",1.54186307656577e-53,-0.504705842441989,0.998,0.999,1.82664518680746e-49
"Yp2",7.75572504321673e-33,-1.70320023321819,0.173,0.366,9.18820745869886e-29
"Cyt-c-p",3.89085669393421e-30,0.846148931745219,0.575,0.353,4.60949792530386e-26
"CG7220",2.58649977568814e-29,0.82334264832393,0.774,0.585,3.06422628425774e-25
"DIP-alpha",3.5614574325987e-29,-0.549306905758043,0.939,0.971,4.21925862039968e-25
"Rel",1.1236628080258e-28,1.39028661704924,0.469,0.26,1.33120332866817e-24
"Vm26Aa",2.57484805624234e-27,-3.6137291363146,0.022,0.14,3.0504224922303e-23
"Myc",2.18758106457738e-25,0.495185694813789,0.92,0.789,2.59162728720482e-21
"eEF1alpha1",6.50325343547342e-25,0.311537268936513,0.998,0.992,7.70440434500536e-21
"Hsc70-4",9.74920038694187e-25,0.297524596803003,0.977,0.934,1.154987769841e-20
"alphaTub84B",8.60462356241239e-24,0.374543942215856,0.975,0.942,1.019389753439e-19
"Socs36E",1.0182697373193e-22,0.43709256210663,0.949,0.847,1.20634415780218e-18
